First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,14,8,0,,3.02,39%,4.06,56%,N/A,0.90,66%,57%,2.2
Jess,Bouscal,,--,155 lbs.,--,,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Tai,Bowden,,"5' 11""",230 lbs.,--,,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Mike,Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,5,0,,3.68,34%,5.64,50%,N/A,1.23,80%,83%,0.3
Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,,0.27,21%,1.53,36%,N/A,0.00,0%,50%,0.0
Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,,0.00,0%,1.05,77%,N/A,0.00,0%,0%,0.0
Roy,Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Rich,Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Poliana,Botelho,,"5' 8""",125 lbs.,"67.0""",Orthodox,8,5,0,,2.90,58%,2.80,54%,N/A,0.85,57%,76%,0.0
Chris,Bostick,,--,--,--,,6,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Young,Hwang,,"5' 9""",135 lbs.,--,,8,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Solomon,Hutcherson,King,"5' 11""",185 lbs.,--,Southpaw,11,7,0,,2.59,39%,2.59,64%,N/A,3.53,100%,0%,0.0
Adam,Hunter,Warhammer,"6' 1""",185 lbs.,--,Orthodox,7,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Joe,Hurley,,"5' 8""",155 lbs.,--,,12,5,0,,1.12,45%,3.35,56%,N/A,0.00,0%,20%,0.0
Kiefer,Crosbie,BDK,"5' 11""",170 lbs.,"70.0""",Switch,10,4,0,,8.10,66%,6.02,50%,N/A,0.00,0%,0%,0.0
Kevin,Croom,Crash,"5' 11""",135 lbs.,"73.0""",Orthodox,21,15,0,,2.65,34%,3.10,41%,N/A,0.48,5%,30%,0.5
Alex,Crispin,,--,155 lbs.,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
