Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Felipe Lima,Muhammad Naimov,0,37,1,1,Featherweight,SUB,3,1:15
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Rinat Fakhretdinov,Nicolas Dalby,0,68,5,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Muin Gafurov,Kyung Ho Kang,0,47,1,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Magomed Gadzhiyasulov,Brendson Ribeiro,0,26,5,0,Light Heavyweight,M-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,ChangHo Lee,Xiao Long,0,84,2,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Tatsuro Taira,Alex Perez,0,31,2,0,Flyweight,KO/TKO,2,2:59
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Miles Johns,Douglas Silva de Andrade,0,50,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Lucas Almeida,Timmy Cuamba,1,70,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Brady Hiestand,Garrett Armfield,0,22,6,3,Bantamweight,SUB,3,1:52
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Asu Almabayev,Jose Johnson,0,20,6,4,Flyweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Adam Fugitt,Josh Quinlan,0,80,0,0,Welterweight,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Islam Makhachev,Dustin Poirier,0,88,5,2,Lightweight,SUB,5,2:42
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Sean Strickland,Paulo Costa,0,182,0,0,Middleweight,S-DEC,5,5:00
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Kevin Holland,Michal Oleksiejczuk,0,8,0,1,Middleweight,SUB,1,1:34
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Niko Price,Alex Morono,0,108,5,0,Welterweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Randy Brown,Elizeu Zaleski dos Santos,0,67,0,2,Welterweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Roman Kopylov,Cesar Almeida,1,41,5,0,Middleweight,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA",,Jailton Almeida,Alexandr Romanov,0,1,1,2,Heavyweight,SUB,1,2:27
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Nassourdine Imavov,Jared Cannonier,0,82,2,0,Middleweight,KO/TKO,4,1:34
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Dominick Reyes,Dustin Jacoby,2,20,0,0,Light Heavyweight,KO/TKO,1,2:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Raul Rosas Jr.,Ricky Turcios,0,3,4,1,Bantamweight,SUB,2,2:22
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Brunno Ferreira,Dustin Stoltzfus,1,24,0,0,Middleweight,KO/TKO,1,4:51
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Zach Reese,Julian Marquez,1,6,0,0,Middleweight,KO/TKO,1,0:20
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Alex Pereira,Jiri Prochazka,2,38,0,0,Light Heavyweight,KO/TKO,2,0:13
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Diego Lopes,Dan Ige,0,49,1,1,Catch Weight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Roman Dolidze,Anthony Smith,0,100,1,0,Light Heavyweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Macy Chiasson,Mayra Bueno Silva,0,50,1,0,Women's Bantamweight,KO/TKO,2,1:58
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Ian Machado Garry,Michael Page,0,19,2,2,Welterweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Joe Pyfer,Marc-Andre Barriault,1,8,0,0,Middleweight,KO/TKO,1,1:25
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",,Nate Maness,Jimmy Flick,0,89,0,2,Flyweight,U-DEC,3,5:00
