Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Marc-Andre Barriault,Julian Marquez,0,0,109,82,0 of 1,0 of 0,0,0,Middleweight,KO/TKO,2,4:12
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Cody Garbrandt,Trevin Jones,0,0,26,20,2 of 3,1 of 2,0,1,Bantamweight,U-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Ian Machado Garry,Song Kenan,1,1,127,55,0 of 0,2 of 3,0,0,Welterweight,KO/TKO,3,4:22
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Bo Nickal,Jamie Pickett,0,0,1,1,1 of 4,0 of 0,2,0,Middleweight,SUB,1,2:54
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Mateusz Gamrot,Jalin Turner,0,1,29,40,4 of 12,0 of 1,0,0,Lightweight,S-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Shavkat Rakhmonov,Geoff Neal,0,0,113,69,0 of 0,0 of 4,1,0,Welterweight,SUB,3,4:17
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Jon Jones,Ciryl Gane,0,0,5,6,2 of 2,0 of 0,1,0,Heavyweight,SUB,1,2:04
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Alexa Grasso,Valentina Shevchenko,0,0,59,87,4 of 6,0 of 2,1,0,Women's Flyweight,SUB,4,4:34
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Joe Solecki,Carl Deaton,0,0,2,1,2 of 3,0 of 0,3,0,Lightweight,SUB,2,4:55
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Jordan Leavitt,Victor Martinez,1,0,17,7,0 of 2,0 of 0,0,0,Lightweight,KO/TKO,1,2:27
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Trevor Peek,Erick Gonzalez,2,0,51,7,4 of 6,0 of 1,0,0,Lightweight,KO/TKO,1,4:59
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Nurullo Aliev,Rafael Alves,0,0,19,6,0 of 0,3 of 4,0,2,Lightweight,M-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Jasmine Jasudavicius,Gabriella Fernandes,0,0,24,26,4 of 8,0 of 1,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Ode Osbourne,Charles Johnson,0,0,48,60,3 of 10,1 of 5,0,0,Catch Weight,S-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Augusto Sakai,Don'Tale Mayes,0,0,53,29,1 of 2,0 of 1,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Mike Malott,Yohan Lainesse,0,0,9,1,1 of 1,0 of 0,1,0,Welterweight,SUB,1,4:15
UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA",win,,Tatiana Suarez,Montana De La Rosa,0,0,10,5,2 of 6,0 of 0,1,0,Women's Flyweight,SUB,2,2:51
UFC Fight Night: Luque vs. Dos Anjos,"August 12, 2023","Las Vegas, Nevada, USA",win,,Da'Mon Blackshear,Jose Johnson,0,0,18,8,2 of 4,0 of 0,1,0,Bantamweight,SUB,1,3:47
UFC Fight Night: Holm vs. Bueno Silva,"July 15, 2023","Las Vegas, Nevada, USA",nc,nc,Holly Holm,Mayra Bueno Silva,0,0,27,20,0 of 1,0 of 0,0,1,Women's Bantamweight,Overturned,2,0:38
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",win,,Farid Basharat,Kleydson Rodrigues,0,0,4,7,2 of 5,0 of 0,1,0,Bantamweight,SUB,1,4:15
UFC Fight Night: Luque vs. Dos Anjos,"August 12, 2023","Las Vegas, Nevada, USA",win,,Luana Santos,Juliana Miller,0,0,63,24,0 of 2,0 of 0,0,0,Women's Flyweight,KO/TKO,1,3:41
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",win,,Manon Fiorot,Rose Namajunas,0,0,58,60,0 of 1,0 of 6,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",win,,Montserrat Rendon,Tamires Vidal,0,0,69,60,0 of 3,3 of 5,0,1,Women's Bantamweight,S-DEC,3,5:00
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",win,,Nora Cornolle,Joselyne Edwards,0,0,40,18,0 of 0,5 of 8,0,1,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Font,"August 05, 2023","Nashville, Tennessee, USA",win,,Tanner Boser,Aleksa Camur,0,0,120,68,0 of 0,0 of 1,0,0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",win,,Mizuki,Hannah Goldy,0,0,55,47,1 of 2,1 of 14,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Dawson vs. Green,"October 07, 2023","Las Vegas, Nevada, USA",win,,Drew Dober,Ricky Glenn,1,0,30,5,0 of 0,0 of 1,0,0,Lightweight,KO/TKO,1,2:36
UFC Fight Night: Almeida vs. Lewis,"November 04, 2023","Sao Paulo, Sao Paulo, Brazil",win,,Marc Diakiese,Kaue Fernandes,0,0,13,23,1 of 1,3 of 8,0,0,Lightweight,S-DEC,3,5:00
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",win,,Justin Tafa,Austen Lane,1,0,11,7,0 of 0,0 of 0,0,0,Heavyweight,KO/TKO,1,1:22
UFC 295: Prochazka vs. Pereira,"November 11, 2023","New York City, New York, USA",win,,Jessica Andrade,Mackenzie Dern,4,0,53,49,0 of 0,0 of 4,0,0,Women's Strawweight,KO/TKO,2,3:15
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",win,,Jacqueline Cavalcanti,Zarah Fairn,0,0,126,39,0 of 2,0 of 1,0,0,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Jared Gooden,Wellington Turman,0,0,53,37,1 of 1,1 of 1,1,0,Welterweight,SUB,2,1:11
UFC 295: Prochazka vs. Pereira,"November 11, 2023","New York City, New York, USA",win,,Jamall Emmers,Dennis Buzukja,1,0,14,3,0 of 0,0 of 0,0,0,Featherweight,KO/TKO,1,0:49
UFC Fight Night: Almeida vs. Lewis,"November 04, 2023","Sao Paulo, Sao Paulo, Brazil",win,,Eduarda Moura,Montserrat Conejo Ruiz,0,0,57,5,3 of 3,0 of 0,0,0,Women's Strawweight,KO/TKO,2,2:14
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Drakkar Klose,Joe Solecki,0,0,2,1,0 of 0,1 of 2,0,0,Lightweight,KO/TKO,1,1:41
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Veronica Hardy,Jamey-Lyn Horth,0,0,43,43,1 of 2,1 of 3,0,0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Miesha Tate,Julia Avila,0,0,32,3,4 of 5,0 of 0,1,0,Women's Bantamweight,SUB,3,1:15
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Rodolfo Bellato,Ihor Potieria,0,1,80,73,1 of 4,0 of 0,0,0,Light Heavyweight,KO/TKO,2,4:17
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Cody Brundage,Zachary Reese,0,0,9,4,0 of 0,1 of 1,0,1,Middleweight,KO/TKO,1,1:49
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Jalin Turner,King Green,1,0,33,15,0 of 0,0 of 0,0,0,Lightweight,KO/TKO,1,2:49
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Joaquim Silva,Clay Guida,0,0,46,43,2 of 11,2 of 3,2,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Dustin Stoltzfus,Punahele Soriano,1,0,64,31,0 of 0,4 of 7,1,0,Middleweight,SUB,2,4:10
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Arman Tsarukyan,Beneil Dariush,1,0,8,2,0 of 0,0 of 0,0,0,Lightweight,KO/TKO,1,1:04
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Deiveson Figueiredo,Rob Font,0,0,45,46,0 of 2,4 of 7,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Craig,"November 18, 2023","Las Vegas, Nevada, USA",win,,Ailin Perez,Lucie Pudilova,0,0,42,20,0 of 0,2 of 8,0,1,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA",win,,Sean Brady,Kelvin Gastelum,0,0,14,18,5 of 5,0 of 0,3,0,Welterweight,SUB,3,1:43
UFC Fight Night: Allen vs. Craig,"November 18, 2023","Las Vegas, Nevada, USA",win,,Rafael Estevam,Charles Johnson,0,0,18,72,0 of 0,3 of 22,1,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Craig,"November 18, 2023","Las Vegas, Nevada, USA",win,,Jeka Saragih,Lucas Alexander,1,0,4,11,1 of 1,0 of 1,0,0,Featherweight,KO/TKO,1,1:31
UFC Fight Night: Allen vs. Craig,"November 18, 2023","Las Vegas, Nevada, USA",win,,Mick Parkin,Caio Machado,0,0,39,76,3 of 10,0 of 1,0,0,Heavyweight,U-DEC,3,5:00
