First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,,0.97,58%,1.25,58%,N/A,2.54,41%,60%,4.0
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,19,1,1,,3.64,53%,2.25,59%,N/A,1.02,31%,86%,0.0
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,,0.00,0%,3.13,25%,N/A,0.00,0%,0%,0.0
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,7,0,,3.60,45%,3.11,53%,N/A,0.82,30%,42%,0.6
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,,4.59,48%,5.54,51%,N/A,2.28,66%,100%,0.0
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,,3.56,38%,3.77,53%,N/A,0.00,0%,33%,0.0
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,,4.62,78%,1.86,50%,N/A,4.47,50%,60%,1.1
Fellipe,Andrew,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,,2.21,50%,2.72,46%,N/A,2.83,50%,57%,0.4
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,,3.27,31%,3.00,65%,N/A,0.00,0%,0%,0.0
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,,2.87,50%,3.50,58%,N/A,0.67,20%,40%,0.0
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,,3.26,42%,2.77,63%,N/A,1.93,50%,66%,0.3
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,,0.20,36%,2.60,53%,N/A,0.00,0%,25%,0.8
Liam,Anderson,,--,185 lbs.,--,,6,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
