,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
5427,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Dustin Ortiz,Matheus Nicolau,145.0,-185.0
5428,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Dustin Poirier,Eddie Alvarez,-145.0,105.0
5429,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Gadzhimurad Antigulov,Ion Cutelaba,-145.0,105.0
5430,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Islam Makhachev,Kajan Johnson,-420.0,300.0
5431,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Jeremy Stephens,Jose Aldo,-105.0,-135.0
5432,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Joanna Jedrzejczyk,Tecia Torres,-385.0,265.0
5433,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,John Makdessi,Ross Pearson,-210.0,160.0
5438,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Nina Nunes,Randa Markos,-105.0,-135.0
5440,UFC,Jul 2024,Arnold Allen,Giga Chikadze,-218.0,180.0
5441,UFC,Jul 2024,Belal Muhammad,Leon Edwards,240.0,-298.0
5442,UFC,Jul 2024,Bruna Brasil,Molly McCann,175.0,-250.0
5443,UFC,Jul 2024,Caolan Loughran,Jake Hadley,-186.0,150.0
5444,UFC,Jul 2024,Christian Leroy Duncan,Gregory Rodrigues,-125.0,-105.0
5445,UFC,Jul 2024,Curtis Blaydes,Tom Aspinall,164.0,-198.0
5446,UFC,Jul 2024,Daniel Pineda,Nathaniel Wood,240.0,-350.0
5450,UFC,Jul 2024,Manel Kape,Muhammad Mokaev,-142.0,120.0
5454,UFC,Jul 2024,Paddy Pimblett,Bobby Green,160.0,-192.0
5456,UFC 214: Cormier vs. Jones 2,Jul 2017,Aljamain Sterling,Renan Barao,-110.0,-130.0
5457,UFC 214: Cormier vs. Jones 2,Jul 2017,Brian Ortega,Renato Moicano,140.0,-180.0
5458,UFC 214: Cormier vs. Jones 2,Jul 2017,Calvin Kattar,Andre Fili,230.0,-310.0
5459,UFC 214: Cormier vs. Jones 2,Jul 2017,Cristiane Justino,Tonya Evinger,-1200.0,600.0
5460,UFC 214: Cormier vs. Jones 2,Jul 2017,Daniel Cormier,Jon Jones,210.0,-250.0
5461,UFC 214: Cormier vs. Jones 2,Jul 2017,Demian Maia,Tyron Woodley,160.0,-210.0
5462,UFC 214: Cormier vs. Jones 2,Jul 2017,Donald Cerrone,Robbie Lawler,135.0,-175.0
5463,UFC 214: Cormier vs. Jones 2,Jul 2017,Drew Dober,Josh Burkman,-165.0,125.0
5464,UFC 214: Cormier vs. Jones 2,Jul 2017,Eric Shelton,Jarred Brooks,110.0,-150.0
5465,UFC 214: Cormier vs. Jones 2,Jul 2017,Jason Knight,Ricardo Lamas,-130.0,-110.0
5466,UFC 214: Cormier vs. Jones 2,Jul 2017,Jimi Manuwa,Volkan Oezdemir,-190.0,150.0
5468,UFC 214: Cormier vs. Jones 2,Jul 2017,Kailin Curran,Alexandra Albu,110.0,-150.0
5476,UFC 291,Jul 2023,Matthew Semelsberger,Uror Medir,-150.0,112.0
5477,UFC 291,Jul 2023,Miranda Maverick,Priscila Cachoeira,-375.0,260.0
5478,UFC 132: Cruz vs. Faber,Jul 2011,Aaron Simpson,Brad Tavares,-225.0,175.0
5479,UFC 132: Cruz vs. Faber,Jul 2011,Andre Winner,Anthony Njokuani,135.0,-165.0
5481,UFC 132: Cruz vs. Faber,Jul 2011,Brian Bowles,Takeya Mizugaki,-350.0,260.0
5482,UFC 132: Cruz vs. Faber,Jul 2011,Carlos Condit,Dong Hyun Kim,-155.0,115.0
5483,UFC 132: Cruz vs. Faber,Jul 2011,Chris Leben,Wanderlei Silva,-180.0,140.0
5484,UFC 132: Cruz vs. Faber,Jul 2011,Dennis Siver,Matt Wiman,-165.0,135.0
5485,UFC 132: Cruz vs. Faber,Jul 2011,Dominick Cruz,Urijah Faber,-120.0,-120.0
